bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio2,bio1,wind_avg,vapr_avg,srad_avg
19,392,15,641,86.5511,4,228,1237,23.038,25.63267,23.148,24.82867,16.316,15.6,31.916,107.57247,73.02852,11.91533,24.52233,17.204,24.7228,189253.4219
28,381,15,684,84.79437,2,235,1353,23.5,25.73733,23.694,24.67933,15.864,15.988,31.852,92.99118,75.64717,12.00067,24.63933,17.508,24.6512,192315.9219
27,373,18,720,86.37643,3,266,1401,22.13933,24.63067,22.336,23.80933,15.38,15.172,30.552,99.56633,73.49155,11.25767,23.44617,18.376,23.304,189816.1719
28,362,17,719,87.09702,3,273,1391,21.91667,23.89,21.726,23.128,15,14.968,29.74,94.2219,74.21778,11.24567,23.2205,19.36,22.2032,190542
18,448,18,914,92.33977,4,345,1619,20.31867,23.51133,20.31867,23.116,17.84,12.64,30.48,142.31385,68.19881,12.16667,22.36333,17.452,22.9484,187564.5781
18,448,18,914,92.33977,4,345,1619,20.31867,23.51133,20.31867,23.116,17.84,12.64,30.48,142.31385,68.19881,12.16667,22.36333,17.452,22.9484,187564.5781
2,258,2,532,89.99494,0,195,1014,21.90667,24.928,21.90667,24.076,19.144,13.196,32.34,119.23731,76.82651,14.70767,23.53483,15.976,23.8196,198512.1719
2,258,2,532,89.99494,0,195,1014,21.90667,25.576,22.50733,24.72067,20.032,13.38,33.412,121.21627,76.82209,14.70767,23.53483,15.46,24.714,197924.6719
16,548,16,614,89.8416,4,235,1121,20.17533,24.086,20.17533,23.76067,21.176,11.296,32.472,177.00084,67.55446,14.30533,22.684,14.456,23.7628,188940.5
10,262,3,527,94.73657,1,208,955,21.89133,24.954,21.97133,24.102,17.128,14.124,31.252,121.65235,75.21018,12.882,23.536,18.176,23.4196,194721.9219
10,262,3,527,94.73657,1,208,955,21.89133,24.954,21.97133,24.102,17.128,14.124,31.252,121.65235,75.21018,12.882,23.536,18.176,23.4196,194721.9219
13,289,8,568,94.82876,1,222,988,21.816,24.95133,21.83467,24.29867,17.452,14.164,31.616,132.12164,72.9926,12.73867,23.656,17.184,23.3888,192899.6719
14,286,8,559,94.37991,1,218,976,21.996,25.16,22.026,24.45067,17.604,14.256,31.86,131.97422,73.41134,12.92333,23.828,17.096,23.5756,192151.4219
12,268,5,551,96.07295,1,214,959,22.706,25.71933,22.80267,24.762,16.652,15.096,31.748,118.54422,76.56538,12.74967,24.27917,17.604,24.0252,193432.8281
12,268,5,551,96.07295,1,214,959,22.706,25.71933,22.80267,24.762,16.652,15.096,31.748,118.54422,76.56538,12.74967,24.27917,17.604,24.0252,193432.8281
9,277,3,556,97.75852,0,210,942,23.00467,25.93733,23.09533,25.02533,16.496,15.508,32.004,116.08236,76.96412,12.696,24.559,17.504,24.0804,193204.5781
10,273,2,539,97.4689,0,205,915,22.53333,25.40733,22.61,24.54733,16.02,15.26,31.28,114.69946,76.56471,12.26567,24.0815,18.028,23.4908,194812.75
11,264,7,522,94.73643,1,207,914,22.56933,25.654,22.576,25.068,17.424,14.908,32.332,130.79856,73.35284,12.781,24.4055,16.948,23.8712,193612
22,487,22,641,91.38541,6,236,1109,18.85333,23.83667,18.85333,23.47,18.964,11.816,30.78,210.40394,63.56605,12.05467,21.81167,12.816,23.4764,180711.9219
13,445,13,678,97.56979,4,244,1120,20.38067,24.162,20.38067,23.818,18.092,13.136,31.228,164.69024,67.9361,12.291,22.74383,13.972,23.1116,178911.5781
3,204,3,390,92.3575,1,139,703,23.03667,26.01533,23.03667,25.42667,16.512,15.796,32.308,124.87381,75.98313,12.54633,24.78383,18,23.884,193982.5
6,204,6,403,90.26276,2,138,737,23.008,25.93533,23.008,25.36133,16.828,15.632,32.46,122.71486,75.85572,12.765,24.73217,18.54,23.7988,194116.6719
12,218,4,462,93.26197,1,179,832,24.222,26.67933,24.28933,25.67,17.292,16.124,33.416,97.3469,81.08952,14.022,25.43933,18.416,24.2944,195991
12,218,4,462,93.26197,1,179,832,24.222,26.67933,24.28933,25.67,17.292,16.124,33.416,97.3469,81.08952,14.022,25.43933,18.416,24.2944,195991
11,218,3,473,93.76784,1,182,849,24.03933,26.576,24.09,25.62,16.68,16.4,33.08,100.66827,80.32375,13.398,25.329,18.816,24.2064,195396.0781
11,215,4,454,93.3078,1,172,816,24.32933,26.82333,24.446,25.768,16.636,16.724,33.36,97.77775,80.11742,13.32833,25.5375,18.388,24.4564,196088.5
10,220,3,479,93.94511,1,181,858,23.976,26.514,24.03,25.57733,16.268,16.648,32.916,100.65088,79.64921,12.95733,25.273,18.884,24.2088,196512
15,226,4,438,89.64548,1,156,829,24.36267,27.026,24.582,25.894,17.58,16.108,33.688,103.64939,79.57338,13.989,25.6065,18.428,24.6876,195754.5
11,380,11,549,95.26964,3,205,927,18.99933,22.99933,18.99933,22.70867,16.952,12.536,29.488,172.87135,71.14205,12.06,21.501,16.284,21.9744,184950.4219
4,409,4,483,96.137,1,183,822,21.928,24.94867,21.928,24.80867,17.38,14.692,32.072,136.28369,74.089,12.87667,23.926,16.9,23.4936,189138.1719
4,409,4,483,96.137,1,183,822,21.928,24.94867,21.928,24.80867,17.38,14.692,32.072,136.28369,74.089,12.87667,23.926,16.9,23.4936,189138.1719
